127.0.0.1 - - [20/Nov/2024:21:40:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:45 +0530] "GET /UserAccessManagement/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/login.jsp HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/vendor/jquery/jquery.min.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/images/signin-image.jpg HTTP/1.1" 200 21118
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-300italic.eot? HTTP/1.1" 200 10018
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-300.eot? HTTP/1.1" 200 8696
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-regular.eot? HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-500.eot? HTTP/1.1" 200 8716
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-italic.eot? HTTP/1.1" 200 10007
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-600.eot? HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-500italic.eot? HTTP/1.1" 200 10148
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-700italic.eot? HTTP/1.1" 200 10015
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-800.eot? HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-800italic.eot? HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-900.eot? HTTP/1.1" 200 8382
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-700.eot? HTTP/1.1" 200 8616
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:40:46 +0530] "GET /UserAccessManagement/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff?v=2.2.0 HTTP/1.1" 200 50312
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/login.jsp HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/images/signin-image.jpg HTTP/1.1" 200 21118
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/vendor/jquery/jquery.min.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 200 7904
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 200 7832
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:10 +0530] "GET /UserAccessManagement/vendor/jquery/jquery.min.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [20/Nov/2024:21:42:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
